Epoch,Loss,Accuracy,Precision,Recall,F1-score,Training Time (s),GPU Memory (MB)
1,0.5133,0.8477,0.8342,0.8702,0.8518,23.16,2468
2,0.3784,0.9282,0.9117,0.9491,0.9300,24.32,2471
3,0.2326,0.9749,0.9653,0.9855,0.9753,23.15,2482
4,0.1207,0.9922,0.9926,0.9918,0.9922,22.42,2481
5,0.0622,0.9963,0.9980,0.9946,0.9963,22.80,2472
