Epoch,Loss,Accuracy,Precision,Recall,F1-score,Training Time (s),GPU Memory (MB)
1,0.2538,0.9198,0.9228,0.9198,0.9196,380.81,4065
2,0.1349,0.9278,0.9292,0.9278,0.9277,381.93,4061
3,0.0694,0.9244,0.9255,0.9244,0.9243,381.99,4058
4,0.0449,0.9266,0.9270,0.9266,0.9266,382.15,4038
5,0.0305,0.9283,0.9286,0.9283,0.9283,382.71,3997
