Epoch,Loss,Accuracy,Precision,Recall,F1-score,Training Time (s),GPU Memory (MB)
1,0.6617,0.6706,0.6260,0.8568,0.7235,2.54,1354
2,0.5930,0.7603,0.7481,0.7890,0.7680,2.35,1353
3,0.5409,0.8023,0.7887,0.8290,0.8083,2.27,1350
4,0.4994,0.8479,0.8420,0.8586,0.8503,2.32,1344
5,0.4550,0.8729,0.8466,0.9127,0.8784,2.29,1339
